algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
LightGBM,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7534197264218863,0.7319196477954028,0.3309692671394799,0.7017543859649122,0.7620849096258933,0.4497991967871486,0.3409690727392309,0.1033494132771442,1813,566,119,280,0.1620460991482594,0.7898776997137652,0.40453878836719104,-0.1398448685489366,0.9606272594483047,0.04283657307415407,121,0.0435565154787617,722,899.5,0.6063085765712452,0.5461855457469048,0.5548353018280906,629,0.3606443324181203,0.16759002770083103,9,9,6,6,91,0.8638260760203477,0.08276934369713913,0.6308009009096434,0.6544595726203124,0.6452682189261444
LightGBM,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.09175927554321596,1.0539845533676393,0.04895608351331893,142,0.051115910727141826,639,801.0,0.6177131304781891,0.560805073871342,0.5699739887925627,566,0.33842622615301343,0.2222222222222222,5,7,12,7,111,0.7997263470945637,0.0792975706917617,0.6427075558106076,0.725875460489381,0.654597166302644
LightGBM,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.750179985601152,0.7310710572142841,0.3278879813302217,0.7042606516290727,0.7578814627994955,0.44745222929936307,0.3448653017828511,0.1051374654323512,1803,576,118,281,0.18222197899101641,0.7889063769132794,0.40650659381422993,-0.375075082897078,0.8813193307208415,0.02267818574514039,63,0.02267818574514039,722,899.5,0.5310324866229847,0.48349054416076,0.4896097445907255,629,0.2780494861161468,0.08725761772853186,8,26,3,7,19,0.811984059282326,0.11084229861476182,0.533954426412679,0.6307086927425378,0.5620744537553385
LightGBM,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7652987760979122,0.7252968486790747,0.3392630241423126,0.6691729323308271,0.7814207650273224,0.4502529510961214,0.3288268174262851,0.0980839003772423,1859,520,132,267,0.18222197899101641,0.8033513797103099,0.47032562949716883,-0.15131433466006766,0.9816878967704629,0.021238300935925127,59,0.021238300935925127,639,801.0,0.5427614846888317,0.49743354558251285,0.5043365360209268,566,0.25953094375626906,0.09233176838810642,5,22,6,7,19,0.7055435172939066,0.10546707726441368,0.5499331699095381,0.6892971811244731,0.5726627893635887
LightGBM,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7357811375089993,0.7237071240522491,0.3136818687430478,0.706766917293233,0.7406473308112652,0.4345146379044684,0.3582071298736944,0.11091009735527442,1762,617,117,282,0.1820918758301845,0.7824958571291617,0.39369499442520695,-0.6215820214080506,0.7809402362858617,0.017998560115190784,50,0.017998560115190784,722,899.5,0.4500616009298305,0.4163050998313182,0.41856874289845947,629,0.2108088520554525,0.06925207756232687,7,36,1,6,0,0.7534525176901563,0.14188909407398415,0.43598370449063534,0.6033986503886858,0.4720256358035797
LightGBM,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7566594672426206,0.7327682383765214,0.3341317365269461,0.6992481203007519,0.7662883564522909,0.4521880064829822,0.3363693379808425,0.10142249296201433,1823,556,120,279,0.1820918758301845,0.8005037815219006,0.4505105346015613,-0.41284666388676194,0.8870986581150937,0.015478761699064075,43,0.015478761699064075,639,801.0,0.4606645757781513,0.4282198885806599,0.43190167649857164,566,0.19509262735383603,0.06729264475743349,5,28,4,6,0,0.6224011870088343,0.13547459118390742,0.4494226155812101,0.6448894487387529,0.48249176976588326
LightGBM,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7145428365730742,0.7217365608219792,0.2985685071574642,0.731829573934837,0.7116435477091215,0.4241103848946986,0.3792817731281456,0.12048082271751259,1693,686,107,292,0.1636041377918822,0.7778488887203296,0.3864097278639834,-0.850519740549612,0.67793450569172,0.01583873290136789,44,0.01583873290136789,722,899.5,0.36135182475975364,0.34225191023090534,0.3389977737680577,629,0.15420784557898826,0.060941828254847646,2,40,0,2,0,0.6721463038878418,0.1715354389829953,0.3403324765002182,0.5596979296661578,0.3731105007643024
LightGBM,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7332613390928726,0.7326655225706131,0.31533477321814257,0.731829573934837,0.7335014712063892,0.44075471698113206,0.3524442821721561,0.10892000895288936,1745,634,107,292,0.1636041377918822,0.7967317410803174,0.43651774709736824,-0.6779375853094767,0.770435476906414,0.011159107271418287,31,0.011159107271418287,639,801.0,0.36965128102248723,0.3513775408990391,0.3497865158229799,566,0.14156105565341331,0.048513302034428794,0,29,1,1,0,0.5461989784498507,0.16282877231592044,0.3558855210544066,0.5954270401821397,0.38141790710118106
LightGBM,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.724622030237581,0.7213636234343741,0.3049040511727079,0.7167919799498746,0.7259352669188734,0.42782348541510845,0.3977076040757019,0.1285676800061542,1727,652,113,286,0.17696541201732016,0.7756186388628148,0.3833923519116945,-0.9840629645952325,0.6240512279136942,0.014398848092152628,40,0.014398848092152628,722,899.5,0.30605397896078057,0.29655029816398326,0.28882971469470353,629,0.1243118814382774,0.055401662049861494,0,39,0,1,0,0.6086995643370711,0.19364768012622505,0.28788758612841986,0.5230721649247179,0.31078551698386486
LightGBM,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.740100791936645,0.7314439946018894,0.31995540691192864,0.7192982456140351,0.7435897435897436,0.44290123456790126,0.3673791243839548,0.11562855569077152,1769,610,112,287,0.17696541201732016,0.7939052128008124,0.4317099323740555,-0.8327300655219311,0.708663659622061,0.010439164866810655,29,0.010439164866810655,639,801.0,0.3125490147946392,0.30353790015270277,0.29762432644081027,566,0.11356171381503712,0.04538341158059468,0,29,0,0,0,0.48652161247365705,0.18268659911219556,0.3068913329179953,0.5579382468402796,0.31732386851428
