algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.1627069834413247,505,0.18178545716342692,722,899.5,0.6193190811314786,0.5586426618482336,0.5668155368765616,629,0.3695301855567089,0.6994459833795014,11,0,64,14,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.14578833693304535,445,0.160187185025198,639,801.0,0.6353205471244168,0.5774755367074486,0.5847976355669741,566,0.34791813265967736,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8549316054715623,0.6107560831460745,0.4908256880733945,0.2681704260651629,0.9533417402269861,0.34683954619124796,0.3425407246348125,0.10440506070378648,2268,111,292,107,0.5,0.7910776310258623,0.3955287963202785,-0.2711308906765151,0.9129876767308002,0.1263498920086393,378,0.13606911447084233,722,899.5,0.5559272880729633,0.5066108774421316,0.5126963100367965,629,0.2967726815366881,0.5235457063711911,10,0,36,12,320,0.8732577812942591,0.10740354223988759,0.570504322986711,0.7340642467555072,0.5870810168186823
Neural Network (MLP),0.1,test,fixed_threshold_0.5,prespecified,2778,0.8768898488120951,0.6350491613649508,0.659217877094972,0.2957393483709273,0.9743589743589743,0.4083044982698962,0.326485762459991,0.09684774821017865,2318,61,281,118,0.5,0.8035141447565952,0.4912458042287574,-0.010044441889317378,1.039504786675764,0.12095032397408208,363,0.1306695464362851,639,801.0,0.5718976540050709,0.5247298022532951,0.5307665605819811,566,0.277846822031851,0.568075117370892,9,0,34,19,301,0.7627751263479392,0.09830236758599863,0.6025509346349566,0.7930481282896118,0.6014632473906939
Neural Network (MLP),0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8498920086393088,0.6516180109795295,0.47151898734177217,0.37343358395989973,0.9298024379991593,0.4167832167832168,0.35301992196259646,0.109155327455549,2212,167,250,149,0.5,0.7878117951457037,0.38937112045565153,-0.5468120847859314,0.8029520062590373,0.09611231101511879,281,0.10115190784737221,722,899.5,0.4772802642333479,0.4404170602243582,0.443509149252763,629,0.23087715085287025,0.389196675900277,10,1,23,11,236,0.833571429731268,0.13434261826750563,0.46044745913358653,0.6942752770251698,0.5010872598439454
Neural Network (MLP),0.25,test,fixed_threshold_0.5,prespecified,2778,0.8725701943844493,0.6690307104457234,0.5862068965517241,0.38345864661654133,0.9546027742749055,0.4636363636363636,0.3334240631164482,0.0996882214594538,2271,108,246,153,0.5,0.7997257751356113,0.4677461496395632,-0.3349841072026952,0.9110322846800056,0.09287257019438445,274,0.09863210943124551,639,801.0,0.4908231206752183,0.45595401006735703,0.4599722654192698,566,0.21432257131803664,0.4287949921752739,7,0,23,17,227,0.6901624392718076,0.1264371125165511,0.48896931647475245,0.7530453194978467,0.5134201411926033
Neural Network (MLP),0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8225341972642188,0.663804846289747,0.39461883408071746,0.44110275689223055,0.8865069356872636,0.4165680473372781,0.3719127661331313,0.11771056150658588,2109,270,223,176,0.5,0.783216448013687,0.3791391012973719,-0.7887899354932281,0.7065549979023558,0.05435565154787617,154,0.05543556515478762,722,899.5,0.39187755111735384,0.3684647212111127,0.3660230264564487,629,0.17313838516179614,0.21329639889196675,9,9,12,7,117,0.7354039204391566,0.16652504706707522,0.36234549877017436,0.593537113401625,0.40695193970203397
Neural Network (MLP),0.5,test,fixed_threshold_0.5,prespecified,2778,0.8545716342692584,0.6887679476117785,0.4932249322493225,0.45614035087719296,0.9213955443463641,0.4739583333333333,0.34713813355814926,0.10590782502379917,2192,187,217,182,0.5,0.7950587903133199,0.4459411674734785,-0.6130203426818787,0.8039645555861605,0.05903527717782577,168,0.06047516198704104,639,801.0,0.4023776568690973,0.37986348843202966,0.3792383955922497,566,0.15965530273872205,0.26291079812206575,6,6,11,15,130,0.5889078550040722,0.1551313864665083,0.3875213986128763,0.6428487279958892,0.41709929857752714
Neural Network (MLP),0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8020158387329014,0.662254627742117,0.35564053537284895,0.46616541353383456,0.8583438419503994,0.403470715835141,0.3919100311454882,0.12651701353815828,2042,337,213,186,0.5,0.779775731889623,0.3711562152280667,-0.9456241992117037,0.6298840426121105,0.029157667386609073,81,0.029157667386609073,722,899.5,0.32334657726912575,0.3107354211653664,0.30274071478750636,629,0.1343061335499451,0.11218836565096953,8,24,7,7,35,0.6382557738459472,0.18465976799862127,0.3000523962757804,0.5505539463626014,0.3305252467592557
Neural Network (MLP),0.75,test,fixed_threshold_0.5,prespecified,2778,0.8297336213102952,0.6867815819498304,0.4199134199134199,0.48621553884711777,0.887347625052543,0.45063879210220675,0.36261705600020583,0.11292115110398998,2111,268,205,194,0.5,0.7933289507922814,0.43494367175340143,-0.7903541956527287,0.7165377967030536,0.02663786897048236,75,0.026997840172786176,639,801.0,0.3338206538584051,0.3211962668051245,0.31528400407148244,566,0.12432166687013109,0.11737089201877934,5,15,7,11,37,0.5181408981482187,0.1746286089865514,0.3288447960139879,0.5600074438149468,0.34100197274334243
