algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,899.5,0.6193190811314786,0.5586426618482336,0.5668155368765616,629,0.3695301855567089,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,801.0,0.6353205471244168,0.5774755367074486,0.5847976355669741,566,0.34791813265967736,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.6792656587473002,0.7261707231508785,0.28113879003558717,0.7919799498746867,0.6603614964270702,0.41497045305318453,0.3425407246348125,0.10440506070378648,1571,808,83,316,0.11813894162575404,0.7910776310258623,0.3955287963202785,-0.2711308906765151,0.9129876767308002,0.02087832973362131,58,0.02087832973362131,722,899.5,0.5559272880729633,0.5066108774421316,0.5126963100367965,629,0.2967726815366881,0.08033240997229917,8,42,0,5,3,0.8732577812942591,0.10740354223988759,0.570504322986711,0.7340642467555072,0.5870810168186823
Neural Network (MLP),0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.697264218862491,0.72833565629079,0.29111531190926276,0.7719298245614035,0.6847414880201765,0.42278654770075497,0.326485762459991,0.09684774821017865,1629,750,91,308,0.11813894162575404,0.8035141447565952,0.4912458042287574,-0.010044441889317378,1.039504786675764,0.016918646508279338,47,0.016918646508279338,639,801.0,0.5718976540050709,0.5247298022532951,0.5307665605819811,566,0.277846822031851,0.07355242566510173,4,29,4,6,4,0.7627751263479392,0.09830236758599863,0.6025509346349566,0.7930481282896118,0.6014632473906939
Neural Network (MLP),0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.6763858891288697,0.7244893444203193,0.2791519434628975,0.7919799498746867,0.6569987389659521,0.41280209013716523,0.35301992196259646,0.109155327455549,1563,816,83,316,0.11813894162575404,0.7878117951457037,0.38937112045565153,-0.5468120847859314,0.8029520062590373,0.022318214542836574,62,0.022318214542836574,722,899.5,0.4772802642333479,0.4404170602243582,0.443509149252763,629,0.23087715085287025,0.08587257617728532,7,49,0,5,1,0.833571429731268,0.13434261826750563,0.46044745913358653,0.6942752770251698,0.5010872598439454
Neural Network (MLP),0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.6929445644348452,0.7289424696672324,0.28903345724907065,0.7794486215538847,0.6784363177805801,0.4216949152542373,0.3334240631164482,0.0996882214594538,1614,765,88,311,0.11813894162575404,0.7997257751356113,0.4677461496395632,-0.3349841072026952,0.9110322846800056,0.017278617710583154,48,0.017278617710583154,639,801.0,0.4908231206752183,0.45595401006735703,0.4599722654192698,566,0.21432257131803664,0.07511737089201878,4,37,1,6,0,0.6901624392718076,0.1264371125165511,0.48896931647475245,0.7530453194978467,0.5134201411926033
Neural Network (MLP),0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.6706263498920086,0.7190406659776807,0.2744755244755245,0.7869674185463659,0.6511139134089954,0.40699935191186,0.3719127661331313,0.11771056150658588,1549,830,85,314,0.11813894162575404,0.783216448013687,0.3791391012973719,-0.7887899354932281,0.7065549979023558,0.020518358531317494,57,0.020518358531317494,722,899.5,0.39187755111735384,0.3684647212111127,0.3660230264564487,629,0.17313838516179614,0.07894736842105263,3,51,0,3,0,0.7354039204391566,0.16652504706707522,0.36234549877017436,0.593537113401625,0.40695193970203397
Neural Network (MLP),0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.6857451403887689,0.7236960623500743,0.283363802559415,0.7769423558897243,0.6704497688104245,0.41527126590756863,0.34713813355814926,0.10590782502379917,1595,784,89,310,0.11813894162575404,0.7950587903133199,0.4459411674734785,-0.6130203426818787,0.8039645555861605,0.015478761699064075,43,0.015478761699064075,639,801.0,0.4023776568690973,0.37986348843202966,0.3792383955922497,566,0.15965530273872205,0.06729264475743349,1,40,0,2,0,0.5889078550040722,0.1551313864665083,0.3875213986128763,0.6428487279958892,0.41709929857752714
Neural Network (MLP),0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.6641468682505399,0.719429405796964,0.2717948717948718,0.7969924812030075,0.6418663303909206,0.40535372848948376,0.3919100311454882,0.12651701353815828,1527,852,81,318,0.11813894162575404,0.779775731889623,0.3711562152280667,-0.9456241992117037,0.6298840426121105,0.018718502519798418,52,0.018718502519798418,722,899.5,0.32334657726912575,0.3107354211653664,0.30274071478750636,629,0.1343061335499451,0.07202216066481995,1,50,0,1,0,0.6382557738459472,0.18465976799862127,0.3000523962757804,0.5505539463626014,0.3305252467592557
Neural Network (MLP),0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.6810655147588193,0.7220067824036762,0.28043282236248873,0.7794486215538847,0.6645649432534678,0.4124668435013263,0.36261705600020583,0.11292115110398998,1581,798,88,311,0.11813894162575404,0.7933289507922814,0.43494367175340143,-0.7903541956527287,0.7165377967030536,0.013678905687544997,38,0.013678905687544997,639,801.0,0.3338206538584051,0.3211962668051245,0.31528400407148244,566,0.12432166687013109,0.0594679186228482,1,37,0,0,0,0.5181408981482187,0.1746286089865514,0.3288447960139879,0.5600074438149468,0.34100197274334243
