algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,899.5,0.6193190811314786,0.5586426618482336,0.5668155368765616,629,0.3695301855567089,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,801.0,0.6353205471244168,0.5774755367074486,0.5847976355669741,566,0.34791813265967736,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7105831533477321,0.7308972304658241,0.2997032640949555,0.7593984962406015,0.7023959646910467,0.4297872340425532,0.3425407246348125,0.10440506070378648,1671,708,96,303,0.13641641040643057,0.7910776310258623,0.3955287963202785,-0.2711308906765151,0.9129876767308002,0.019798416126709864,55,0.019798416126709864,722,899.5,0.5559272880729633,0.5066108774421316,0.5126963100367965,629,0.2967726815366881,0.07617728531855955,9,30,2,6,8,0.8732577812942591,0.10740354223988759,0.570504322986711,0.7340642467555072,0.5870810168186823
Neural Network (MLP),0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7217422606191505,0.7311548101021785,0.3068181818181818,0.7443609022556391,0.717948717948718,0.43452816386247256,0.326485762459991,0.09684774821017865,1708,671,102,297,0.13641641040643057,0.8035141447565952,0.4912458042287574,-0.010044441889317378,1.039504786675764,0.017998560115190784,50,0.017998560115190784,639,801.0,0.5718976540050709,0.5247298022532951,0.5307665605819811,566,0.277846822031851,0.0782472613458529,5,28,6,7,4,0.7627751263479392,0.09830236758599863,0.6025509346349566,0.7930481282896118,0.6014632473906939
Neural Network (MLP),0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6889848812095032,0.7276735344034739,0.2865013774104683,0.7819548872180451,0.6733921815889029,0.41935483870967744,0.35301992196259646,0.109155327455549,1602,777,87,312,0.12690035502115884,0.7878117951457037,0.38937112045565153,-0.5468120847859314,0.8029520062590373,0.021958243340532757,61,0.021958243340532757,722,899.5,0.4772802642333479,0.4404170602243582,0.443509149252763,629,0.23087715085287025,0.08448753462603878,7,48,0,5,1,0.833571429731268,0.13434261826750563,0.46044745913358653,0.6942752770251698,0.5010872598439454
Neural Network (MLP),0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7041036717062635,0.7292000493035868,0.2952565343659245,0.7644110275689223,0.6939890710382514,0.4259776536312849,0.3334240631164482,0.0996882214594538,1651,728,94,305,0.12690035502115884,0.7997257751356113,0.4677461496395632,-0.3349841072026952,0.9110322846800056,0.017278617710583154,48,0.017278617710583154,639,801.0,0.4908231206752183,0.45595401006735703,0.4599722654192698,566,0.21432257131803664,0.07511737089201878,4,37,1,6,0,0.6901624392718076,0.1264371125165511,0.48896931647475245,0.7530453194978467,0.5134201411926033
Neural Network (MLP),0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6882649388048956,0.726210229230074,0.28558310376492196,0.7794486215538847,0.6729718369062632,0.41801075268817206,0.3719127661331313,0.11771056150658588,1601,778,88,311,0.1292616551121076,0.783216448013687,0.3791391012973719,-0.7887899354932281,0.7065549979023558,0.020518358531317494,57,0.020518358531317494,722,899.5,0.39187755111735384,0.3684647212111127,0.3660230264564487,629,0.17313838516179614,0.07894736842105263,3,50,0,4,0,0.7354039204391566,0.16652504706707522,0.36234549877017436,0.593537113401625,0.40695193970203397
Neural Network (MLP),0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.701223902087833,0.7296045915545484,0.2937799043062201,0.7694235588972431,0.6897856242118537,0.425207756232687,0.34713813355814926,0.10590782502379917,1641,738,92,307,0.1292616551121076,0.7950587903133199,0.4459411674734785,-0.6130203426818787,0.8039645555861605,0.014758819294456443,41,0.014758819294456443,639,801.0,0.4023776568690973,0.37986348843202966,0.3792383955922497,566,0.15965530273872205,0.06416275430359937,2,37,0,2,0,0.5889078550040722,0.1551313864665083,0.3875213986128763,0.6428487279958892,0.41709929857752714
Neural Network (MLP),0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6785457163426926,0.723664457486718,0.2798573975044563,0.7869674185463659,0.6603614964270702,0.4128862590401052,0.3919100311454882,0.12651701353815828,1571,808,85,314,0.1247204119960467,0.779775731889623,0.3711562152280667,-0.9456241992117037,0.6298840426121105,0.017638588912886968,49,0.017638588912886968,722,899.5,0.32334657726912575,0.3107354211653664,0.30274071478750636,629,0.1343061335499451,0.06786703601108034,1,47,0,1,0,0.6382557738459472,0.18465976799862127,0.3000523962757804,0.5505539463626014,0.3305252467592557
Neural Network (MLP),0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6882649388048956,0.7220383872670326,0.2839962997224792,0.7694235588972431,0.6746532156368222,0.41486486486486485,0.36261705600020583,0.11292115110398998,1605,774,92,307,0.1247204119960467,0.7933289507922814,0.43494367175340143,-0.7903541956527287,0.7165377967030536,0.012958963282937365,36,0.012958963282937365,639,801.0,0.3338206538584051,0.3211962668051245,0.31528400407148244,566,0.12432166687013109,0.056338028169014086,1,35,0,0,0,0.5181408981482187,0.1746286089865514,0.3288447960139879,0.5600074438149468,0.34100197274334243
