algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,899.5,0.6048582305632099,0.5441732622282471,0.5527313862586316,629,0.36374144933305835,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,801.0,0.6184717640754728,0.5609378015684053,0.5703065792364377,566,0.34389321585797916,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.6249371853340792,0.4879032258064516,0.3032581453634085,0.9466162253047499,0.3740340030911901,0.3456701490895885,0.10541398578444484,2252,127,278,121,0.5,0.7883011437800048,0.4057143133206149,-0.3808668434569552,0.8908241986079087,0.11483081353491721,343,0.12347012239020878,722,899.5,0.529956295432779,0.48274006276642134,0.4878460488373163,629,0.2765399163920504,0.47506925207756234,9,2,35,8,289,0.8291597037595071,0.11847085476621635,0.5372931394966266,0.561302476038374,0.5602709462180813
XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8704103671706264,0.6354379011842342,0.5951219512195122,0.3057644110275689,0.9651113913408995,0.40397350993377484,0.3294865095686981,0.09835941617735017,2296,83,277,122,0.5,0.8028952161825328,0.4645388706581774,-0.13710643075991208,1.0029916642109495,0.10871130309575235,321,0.11555075593952484,639,801.0,0.544568446579434,0.4994571559543947,0.5061570752667364,566,0.25937119251733304,0.5023474178403756,7,0,26,15,273,0.7336864521442049,0.10782068107835034,0.5491809413075861,0.6954304448228609,0.5741689980457496
XGBoost,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8434125269978402,0.6530497112895732,0.4476744186046512,0.38596491228070173,0.9201345102984447,0.414535666218035,0.3581201093057359,0.11086444825465093,2189,190,245,154,0.5,0.7829931069793019,0.39294175928133884,-0.6225341601988228,0.7966301348858861,0.08171346292296616,234,0.08423326133909287,722,899.5,0.44868239638105095,0.4154128148726346,0.4166522635612119,629,0.20946397251769255,0.32409972299168976,9,3,16,8,198,0.7632152400208853,0.1503251828576635,0.43688503196271644,0.5430066210618114,0.4700217990016994
XGBoost,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8628509719222462,0.6591842152670453,0.5321428571428571,0.37343358395989973,0.9449348465741908,0.43888070692194403,0.3377570747697167,0.10189550864208857,2248,131,250,149,0.5,0.7987955386574885,0.4484183459663744,-0.4170168267859122,0.8977472938368417,0.08243340532757379,239,0.08603311735061195,639,801.0,0.4601865807713609,0.4288454030134196,0.4319293124146483,566,0.1944819994976475,0.37402190923317685,6,1,17,13,202,0.654958030030917,0.14023760924923648,0.44710045499804346,0.6640712652094963,0.48097005140236754
XGBoost,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8185745140388769,0.6656647924982696,0.3870967741935484,0.45112781954887216,0.880201765447667,0.4166666666666667,0.3791401969273347,0.1204601880995058,2094,285,219,180,0.5,0.7791494288474443,0.3882681051645603,-0.8611578444079332,0.6678570635762696,0.0435565154787617,121,0.0435565154787617,722,899.5,0.3565417267845602,0.3369223762720201,0.33328446249403865,629,0.15206938632065142,0.16759002770083103,9,9,8,7,88,0.6552131737202729,0.1706359289776763,0.33066036006047234,0.4986343436887178,0.3691296821421112
XGBoost,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8444924406047516,0.6766253591102599,0.45714285714285713,0.44110275689223055,0.9121479613282892,0.4489795918367347,0.353095669651168,0.10914748822122099,2170,209,223,176,0.5,0.7960632982203302,0.4380014975512012,-0.6916283141274423,0.7492139246744711,0.047516198704103674,133,0.04787616990640749,639,801.0,0.3660174915937911,0.347485621760683,0.34616095540919645,566,0.140734131712404,0.2081377151799687,6,6,8,12,101,0.5382655041306891,0.1587086329134651,0.3394367471736085,0.5998663559343869,0.378739224036603
XGBoost,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8012958963282938,0.6649631645317582,0.3559322033898305,0.47368421052631576,0.8562421185372006,0.4064516129032258,0.39725366535308165,0.1284520573414077,2037,342,210,189,0.5,0.7772921163775348,0.3827766806119834,-0.9864449341633869,0.6188508083064302,0.021958243340532757,61,0.021958243340532757,722,899.5,0.3022982577471216,0.2913522748879553,0.2841399771047143,629,0.12290899892578665,0.08448753462603878,9,19,8,6,19,0.5855779439203346,0.18650531975914925,0.2746354841618393,0.4725259748351883,0.30891092388016284
XGBoost,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8196544276457883,0.6715101119760308,0.3919491525423729,0.46365914786967416,0.8793610760823876,0.42479908151549944,0.3676612574105844,0.11565726233775755,2092,287,214,185,0.5,0.7942707757203011,0.43396525422394927,-0.8376614698326572,0.6944936398344864,0.018718502519798418,52,0.018718502519798418,639,801.0,0.30930225710671916,0.2995450940920513,0.2948912133113997,566,0.11300088876314454,0.081377151799687,6,13,7,12,14,0.48887169642969697,0.17529549152926285,0.28134873791245657,0.5690631768775067,0.3158042108229613
