algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,899.5,0.6048582305632099,0.5441732622282471,0.5527313862586316,629,0.36374144933305835,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,801.0,0.6184717640754728,0.5609378015684053,0.5703065792364377,566,0.34389321585797916,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7386609071274298,0.7264314632735686,0.3169092945128779,0.7092731829573935,0.7435897435897436,0.43808049535603716,0.3456701490895885,0.10541398578444484,1769,610,116,283,0.176466839134463,0.7883011437800048,0.4057143133206149,-0.3808668434569552,0.8908241986079087,0.021958243340532757,61,0.021958243340532757,722,899.5,0.529956295432779,0.48274006276642134,0.4878460488373163,629,0.2765399163920504,0.08448753462603878,9,28,3,4,17,0.8291597037595071,0.11847085476621635,0.5372931394966266,0.561302476038374,0.5602709462180813
XGBoost,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7584593232541397,0.7286042976293192,0.33414634146341465,0.6867167919799498,0.7704918032786885,0.4495488105004102,0.3294865095686981,0.09835941617735017,1833,546,125,274,0.176466839134463,0.8028952161825328,0.4645388706581774,-0.13710643075991208,1.0029916642109495,0.020518358531317494,57,0.020518358531317494,639,801.0,0.544568446579434,0.4994571559543947,0.5061570752667364,566,0.25937119251733304,0.0892018779342723,5,24,4,8,16,0.7336864521442049,0.10782068107835034,0.5491809413075861,0.6954304448228609,0.5741689980457496
XGBoost,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7300215982721382,0.7234732480634121,0.30944625407166126,0.7142857142857143,0.7326607818411097,0.4318181818181818,0.3581201093057359,0.11086444825465093,1743,636,114,285,0.176466839134463,0.7829931069793019,0.39294175928133884,-0.6225341601988228,0.7966301348858861,0.017278617710583154,48,0.017278617710583154,722,899.5,0.44868239638105095,0.4154128148726346,0.4166522635612119,629,0.20946397251769255,0.0664819944598338,6,37,1,4,0,0.7632152400208853,0.1503251828576635,0.43688503196271644,0.5430066210618114,0.4700217990016994
XGBoost,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7462203023758099,0.7266732404782448,0.3229166666666667,0.6992481203007519,0.7540983606557377,0.4418052256532066,0.3377570747697167,0.10189550864208857,1794,585,120,279,0.176466839134463,0.7987955386574885,0.4484183459663744,-0.4170168267859122,0.8977472938368417,0.01511879049676026,42,0.01511879049676026,639,801.0,0.4601865807713609,0.4288454030134196,0.4319293124146483,566,0.1944819994976475,0.06572769953051644,4,29,2,7,0,0.654958030030917,0.14023760924923648,0.44710045499804346,0.6640712652094963,0.48097005140236754
XGBoost,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7278617710583153,0.7180403720524514,0.3057671381936888,0.7042606516290727,0.7318200924758301,0.4264036418816389,0.3791401969273347,0.1204601880995058,1741,638,118,281,0.176466839134463,0.7791494288474443,0.3882681051645603,-0.8611578444079332,0.6678570635762696,0.015478761699064075,43,0.015478761699064075,722,899.5,0.3565417267845602,0.3369223762720201,0.33328446249403865,629,0.15206938632065142,0.05955678670360111,1,39,0,3,0,0.6552131737202729,0.1706359289776763,0.33066036006047234,0.4986343436887178,0.3691296821421112
XGBoost,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7469402447804175,0.7270935851608846,0.3236658932714617,0.6992481203007519,0.7549390500210172,0.4425059476605868,0.353095669651168,0.10914748822122099,1796,583,120,279,0.176466839134463,0.7960632982203302,0.4380014975512012,-0.6916283141274423,0.7492139246744711,0.011159107271418287,31,0.011159107271418287,639,801.0,0.3660174915937911,0.347485621760683,0.34616095540919645,566,0.140734131712404,0.048513302034428794,1,29,0,1,0,0.5382655041306891,0.1587086329134651,0.3394367471736085,0.5998663559343869,0.378739224036603
XGBoost,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7242620590352772,0.716981609130013,0.3029001074113856,0.706766917293233,0.7271963009667928,0.42406015037593986,0.39725366535308165,0.1284520573414077,1730,649,117,282,0.176466839134463,0.7772921163775348,0.3827766806119834,-0.9864449341633869,0.6188508083064302,0.014758819294456443,41,0.014758819294456443,722,899.5,0.3022982577471216,0.2913522748879553,0.2841399771047143,629,0.12290899892578665,0.05678670360110803,1,38,0,2,0,0.5855779439203346,0.18650531975914925,0.2746354841618393,0.4725259748351883,0.30891092388016284
XGBoost,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7419006479481641,0.7293659748362078,0.32054176072234764,0.7117794486215538,0.7469525010508618,0.44202334630350193,0.3676612574105844,0.11565726233775755,1777,602,115,284,0.176466839134463,0.7942707757203011,0.43396525422394927,-0.8376614698326572,0.6944936398344864,0.01079913606911447,30,0.01079913606911447,639,801.0,0.30930225710671916,0.2995450940920513,0.2948912133113997,566,0.11300088876314454,0.046948356807511735,1,29,0,0,0,0.48887169642969697,0.17529549152926285,0.28134873791245657,0.5690631768775067,0.3158042108229613
