algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Logistic Regression,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.395825257538041,0.11894896582947341,2379,0,399,0,0.5,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.19330453563714903,592,0.21310295176385888,722,1222.0,0.7518839549380109,0.7009287229375568,0.7109401317201234,629,0.6946502969194391,0.8199445983379502,11,0,66,15,500,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8957438651156685,0.8254633099466664
Logistic Regression,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.39548763288073996,0.1188529424855129,2379,0,399,0,0.5,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.17530597552195826,531,0.19114470842332612,639,1090.0,0.7578552195429562,0.7094589464809056,0.7190377202661449,566,0.6266835045001513,0.8309859154929577,10,0,51,19,451,0.8279708143968035,0.13510331695002203,0.7998284295605904,0.8928541062428719,0.8264255487816486
Logistic Regression,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3940759186396191,0.11778128575235296,2379,0,399,0,0.5,0.7565682807270384,0.33025153934713014,4.399551260408816,4.070848406538318,0.19330453563714903,592,0.21310295176385888,722,1222.0,0.7122632274917177,0.6668781934553157,0.6766202282467363,629,0.6024145657849255,0.8199445983379502,11,0,66,15,500,0.8279687649222475,0.16666796985560603,0.7345187386864784,0.8889145403943832,0.7777992166402822
Logistic Regression,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8563714902807775,0.5,0.0,0.0,1.0,0.0,0.3932527827033949,0.11751584785524828,2379,0,399,0,0.5,0.7667208163325506,0.3597487040185092,5.139802317624477,4.532729296320057,0.17530597552195826,531,0.19114470842332612,639,1090.0,0.7181365534820325,0.6750280359007736,0.6847205314299504,566,0.5440817646156233,0.8309859154929577,10,0,51,19,451,0.7793229253393463,0.16558316210461085,0.7336548028424748,0.8854937305324048,0.7792149187468316
Logistic Regression,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8560115190784737,0.49978982765868013,0.0,0.0,0.9995796553173603,0.0,0.4000212876619121,0.11882224196441092,2378,1,399,0,0.5,0.7545771743355867,0.32745844986142303,2.0689596646858996,3.028577355318883,0.1929445644348452,591,0.21274298056155508,722,1222.0,0.6592063891871773,0.6211181013473757,0.6305492843464977,629,0.5070828345404801,0.8185595567867036,11,0,65,15,500,0.7911316267814305,0.20563304255212222,0.64659240921117,0.882299221638055,0.7142058768278512
Logistic Regression,0.25,test,fixed_threshold_0.5,prespecified,2778,0.8560115190784737,0.49978982765868013,0.0,0.0,0.9995796553173603,0.0,0.3983588898230632,0.11819217657620376,2378,1,399,0,0.5,0.7651911409461021,0.35503122705689405,2.5402414925108965,3.370341470699369,0.17494600431965443,529,0.1904247660187185,639,1090.0,0.6650118083580285,0.628841693627205,0.6387325287576555,566,0.4586879547127935,0.8278560250391236,9,0,50,19,451,0.7162157916924339,0.20448029530092204,0.6444234814902625,0.8781676831520763,0.7162594875442732
Logistic Regression,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.502910807915122,0.2857142857142857,0.010025062656641603,0.9957965531736024,0.01937046004842615,0.4188070807037181,0.12485310867934916,2369,10,395,4,0.5,0.7536353494075668,0.32628470860866887,0.5083262613321631,2.315501217889746,0.18826493880489562,566,0.20374370050395968,722,1222.0,0.5879153567422809,0.5595610086691897,0.5683798613831109,629,0.409092448762597,0.7839335180055401,10,0,52,15,489,0.7439179093244414,0.25539037332924863,0.5311084413797043,0.8757685275207362,0.6288590353598243
Logistic Regression,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8542116630669546,0.5039537684058824,0.3125,0.012531328320802004,0.9953762084909626,0.024096385542168676,0.415675928749515,0.12346126101074784,2368,11,394,5,0.5,0.7643736284806173,0.35266502455395027,0.8010558379137851,2.575355420706537,0.1695464362850972,499,0.17962562994960404,639,1090.0,0.5937278925233058,0.5668684345057898,0.5767395894922805,566,0.3708412266113057,0.7809076682316118,8,0,35,19,437,0.6384295508683285,0.25401471688130206,0.5281520368435115,0.8705693493217423,0.6317837543263938
Logistic Regression,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.8567314614830813,0.542971552462493,0.5061728395061729,0.10275689223057644,0.9831862126944094,0.17083333333333334,0.440546138974535,0.13321340747283825,2339,40,358,41,0.5,0.7536848636934919,0.3262323550085643,-0.21185701966791703,1.9835891545011275,0.1652267818574514,473,0.17026637868970482,722,1222.0,0.5335119951932732,0.5126451475067613,0.520673298193547,629,0.34896116885964756,0.6551246537396122,10,2,17,15,429,0.7088540098479282,0.2916004026412714,0.4473791107517084,0.8716978074852174,0.5636437232525964
Logistic Regression,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8560115190784737,0.53212160287225,0.49206349206349204,0.07769423558897243,0.9865489701555276,0.1341991341991342,0.43600097540143395,0.13102709693631961,2347,32,368,31,0.5,0.764426303252878,0.35277101157039414,-1.5433169180067046e-05,2.2061518885700986,0.1537077033837293,433,0.1558675305975522,639,1090.0,0.5393737444550034,0.5197234925373341,0.5291551329380408,566,0.3168460193963932,0.6776212832550861,7,2,12,19,393,0.5852463334096302,0.28986896855496513,0.4448283829243724,0.8655096073465144,0.5672152322053153
Logistic Regression,1.0,validation,fixed_threshold_0.5,prespecified,2778,0.8444924406047516,0.57858707297879,0.41624365482233505,0.20551378446115287,0.9516603614964271,0.2751677852348993,0.4622493978187412,0.14224591915229268,2264,115,317,82,0.5,0.754028303208631,0.32655240668778385,-0.6356776196504519,1.788855992185895,0.1263498920086393,352,0.12670986321094313,722,1222.0,0.4909869384286662,0.4760411834291921,0.48318663332739936,629,0.3081373499730671,0.48753462603878117,10,9,2,15,316,0.6816629091892481,0.3188040304620295,0.3855021085150982,0.8687649992520868,0.5125686086479068
Logistic Regression,1.0,test,fixed_threshold_0.5,prespecified,2778,0.8524118070554355,0.5706953385987036,0.46357615894039733,0.17543859649122806,0.9659520807061791,0.2545454545454545,0.45639026794762877,0.1393189075079501,2298,81,329,70,0.5,0.7647265494547634,0.35367116452581165,-0.4708752575531814,1.9899269737833571,0.12311015118790497,343,0.12347012239020878,639,1090.0,0.49688502951346625,0.4829574774624772,0.4917185569044715,566,0.28011393757342784,0.5367762128325508,7,5,4,19,308,0.5470266413177087,0.3166341090166068,0.38386366651698045,0.8616408867384727,0.5166183017098788
