algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Logistic Regression,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.02663786897048236,74,0.02663786897048236,722,1222.0,0.7518839549380109,0.7009287229375568,0.7109401317201234,629,0.6946502969194391,0.10249307479224377,7,51,0,15,1,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8957438651156685,0.8254633099466664
Logistic Regression,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.6159107271418287,0.6964811145139014,0.24581430745814306,0.8095238095238095,0.5834384195039932,0.37711617046117923,0.39548763288073996,0.1188529424855129,1388,991,76,323,0.14075511803503238,0.7686992807786595,0.3669462263354828,9.342020050892833,6.359396371430544,0.020158387329013677,57,0.020518358531317494,639,1090.0,0.7578552195429562,0.7094589464809056,0.7190377202661449,566,0.6266835045001513,0.0892018779342723,4,31,1,19,2,0.8279708143968035,0.13510331695002203,0.7998284295605904,0.8928541062428719,0.8264255487816486
Logistic Regression,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.2357811375089993,0.538159712016485,0.15409309791332262,0.9624060150375939,0.1139134089953762,0.26565202352127293,0.3940759186396191,0.11778128575235296,271,2108,15,384,0.14075511803503238,0.7565682807270384,0.33025153934713014,4.399551260408816,4.070848406538318,0.04427645788336933,123,0.04427645788336933,722,1222.0,0.7122632274917177,0.6668781934553157,0.6766202282467363,629,0.6024145657849255,0.1703601108033241,1,107,0,15,0,0.8279687649222475,0.16666796985560603,0.7345187386864784,0.8889145403943832,0.7777992166402822
Logistic Regression,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.2249820014398848,0.5255967788323267,0.150597609561753,0.9473684210526315,0.10382513661202186,0.2598831213475421,0.3932527827033949,0.11751584785524828,247,2132,21,378,0.14075511803503238,0.7667208163325506,0.3597487040185092,5.139802317624477,4.532729296320057,0.040676745860331175,113,0.040676745860331175,639,1090.0,0.7181365534820325,0.6750280359007736,0.6847205314299504,566,0.5440817646156233,0.17683881064162754,1,93,0,19,0,0.7793229253393463,0.16558316210461085,0.7336548028424748,0.8854937305324048,0.7792149187468316
Logistic Regression,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.15766738660907129,0.5019389583669135,0.14411441144114412,0.9849624060150376,0.018915510718789406,0.2514395393474088,0.4000212876619121,0.11882224196441092,45,2334,6,393,0.14075511803503238,0.7545771743355867,0.32745844986142303,2.0689596646858996,3.028577355318883,0.049316054715622754,137,0.049316054715622754,722,1222.0,0.6592063891871773,0.6211181013473757,0.6305492843464977,629,0.5070828345404801,0.18975069252077562,0,122,0,15,0,0.7911316267814305,0.20563304255212222,0.64659240921117,0.882299221638055,0.7142058768278512
Logistic Regression,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.15262778977681785,0.4958676641161542,0.1425959780621572,0.9774436090225563,0.014291719209751997,0.2488832163369496,0.3983588898230632,0.11819217657620376,34,2345,9,390,0.14075511803503238,0.7651911409461021,0.35503122705689405,2.5402414925108965,3.370341470699369,0.04427645788336933,123,0.04427645788336933,639,1090.0,0.6650118083580285,0.628841693627205,0.6387325287576555,566,0.4586879547127935,0.19248826291079812,0,104,0,19,0,0.7162157916924339,0.20448029530092204,0.6444234814902625,0.8781676831520763,0.7162594875442732
Logistic Regression,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14614830813534918,0.49521344344467727,0.14244291409931134,0.9849624060150376,0.00546448087431694,0.24889170360987967,0.4188070807037181,0.12485310867934916,13,2366,6,393,0.14075511803503238,0.7536353494075668,0.32628470860866887,0.5083262613321631,2.315501217889746,0.05003599712023038,139,0.05003599712023038,722,1222.0,0.5879153567422809,0.5595610086691897,0.5683798613831109,629,0.409092448762597,0.1925207756232687,0,127,0,12,0,0.7439179093244414,0.25539037332924863,0.5311084413797043,0.8757685275207362,0.6288590353598243
Logistic Regression,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.14758819294456443,0.4970970933007171,0.14290895901342038,0.9874686716791979,0.006725514922236234,0.24968314321926488,0.415675928749515,0.12346126101074784,16,2363,5,394,0.14075511803503238,0.7643736284806173,0.35266502455395027,0.8010558379137851,2.575355420706537,0.0435565154787617,121,0.0435565154787617,639,1090.0,0.5937278925233058,0.5668684345057898,0.5767395894922805,566,0.3708412266113057,0.18935837245696402,0,105,0,16,0,0.6384295508683285,0.25401471688130206,0.5281520368435115,0.8705693493217423,0.6317837543263938
Logistic Regression,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.1443484521238301,0.49416258173807787,0.14218523878437048,0.9849624060150376,0.003362757461118117,0.2484982611444831,0.440546138974535,0.13321340747283825,8,2371,6,393,0.14075511803503238,0.7536848636934919,0.3262323550085643,-0.21185701966791703,1.9835891545011275,0.05003599712023038,139,0.05003599712023038,722,1222.0,0.5335119951932732,0.5126451475067613,0.520673298193547,629,0.34896116885964756,0.1925207756232687,0,128,0,11,0,0.7088540098479282,0.2916004026412714,0.4473791107517084,0.8716978074852174,0.5636437232525964
Logistic Regression,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.14542836573074155,0.4958360592527978,0.14259862468331524,0.9874686716791979,0.004203446826397646,0.24920936116382036,0.43600097540143395,0.13102709693631961,10,2369,5,394,0.14075511803503238,0.764426303252878,0.35277101157039414,-1.5433169180067046e-05,2.2061518885700986,0.042476601871850254,118,0.042476601871850254,639,1090.0,0.5393737444550034,0.5197234925373341,0.5291551329380408,566,0.3168460193963932,0.18466353677621283,0,105,0,13,0,0.5852463334096302,0.28986896855496513,0.4448283829243724,0.8655096073465144,0.5672152322053153
Logistic Regression,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.1443484521238301,0.49520554222883817,0.14244396240057844,0.9874686716791979,0.0029424127784783522,0.24897314375987362,0.4622493978187412,0.14224591915229268,7,2372,5,394,0.14075511803503238,0.754028303208631,0.32655240668778385,-0.6356776196504519,1.788855992185895,0.04967602591792657,138,0.04967602591792657,722,1222.0,0.4909869384286662,0.4760411834291921,0.48318663332739936,629,0.3081373499730671,0.19113573407202217,0,128,0,10,0,0.6816629091892481,0.3188040304620295,0.3855021085150982,0.8687649992520868,0.5125686086479068
