algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8603311735061195,0.5680184066724188,0.5478260869565217,0.15789473684210525,0.9781420765027322,0.245136186770428,0.3401498941990284,0.10336897278034907,2327,52,336,63,0.5,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.1627069834413247,505,0.18178545716342692,722,1222.0,0.5988917226780691,0.5586426618482336,0.5629914714991809,629,0.48376258392295135,0.6994459833795014,11,0,64,14,416,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,fixed_threshold_0.5,prespecified,2778,0.8740100791936645,0.5906064025132187,0.7333333333333333,0.19298245614035087,0.9882303488860866,0.3055555555555556,0.3266836116287911,0.09706227171673955,2351,28,322,77,0.5,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.14578833693304535,445,0.160187185025198,639,1090.0,0.6159950235684827,0.5774755367074486,0.581295892320724,566,0.4580115681095121,0.6964006259780907,10,0,47,19,369,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8556515478761699,0.6278637956808794,0.4959677419354839,0.3082706766917293,0.9474569146700295,0.3802163833075734,0.34469264698450874,0.10534618739924063,2254,125,276,123,0.5,0.7899524978903752,0.39726301742996045,-0.34710651117178143,0.8838018641413617,0.1169906407487401,346,0.12455003599712024,722,1222.0,0.5218374375640061,0.4911968031483646,0.49333859227348964,629,0.3679295434952712,0.4792243767313019,10,0,30,12,294,0.8734738161843836,0.11281132622598072,0.5537978413354869,0.7185662084983455,0.5660825136601925
Neural Network (MLP),0.1,test,fixed_threshold_0.5,prespecified,2778,0.8772498200143989,0.6509037410676755,0.6394230769230769,0.3333333333333333,0.9684741488020177,0.4382207578253707,0.3273555442497349,0.09723973278941767,2304,75,266,133,0.5,0.803597370896767,0.48579779899530806,-0.0971157029076422,1.0092203686529069,0.11123110151187905,330,0.11879049676025918,639,1090.0,0.5376794404706232,0.5082822228127476,0.5108083005183536,566,0.344845990099516,0.5164319248826291,8,0,28,19,275,0.7617146883159877,0.10521648885153326,0.5829160167695651,0.7792024267020455,0.5793309306776797
Neural Network (MLP),0.25,validation,fixed_threshold_0.5,prespecified,2778,0.839812814974802,0.6509479878763744,0.4350282485875706,0.38596491228070173,0.9159310634720471,0.40903054448871184,0.35911307271389736,0.11194404215953332,2179,200,245,154,0.5,0.7857142857142856,0.38479816358704466,-0.6364315888901484,0.7677047765936864,0.08279337652987762,241,0.08675305975521959,722,1222.0,0.4373173712998165,0.4162224246127082,0.41547193988595693,629,0.27824725336570927,0.3337950138504155,10,1,20,11,199,0.8457232490181923,0.14306343832554724,0.4361130958705237,0.6625790908932686,0.46777847431600095
Neural Network (MLP),0.25,test,fixed_threshold_0.5,prespecified,2778,0.8700503959683226,0.680075029945608,0.565068493150685,0.41353383458646614,0.9466162253047499,0.47756874095513746,0.3374636197627906,0.10146904916025998,2252,127,234,165,0.5,0.798019112514367,0.4563248947124179,-0.43415254461562997,0.8737006841945072,0.08315334773218143,242,0.0871130309575234,639,1090.0,0.45072234612277257,0.43005987177576227,0.43070046484293395,566,0.259015389404301,0.37871674491392804,7,0,18,16,201,0.6898473466436068,0.13262588915380616,0.4648543238347652,0.7052378339464204,0.4799980026809533
Neural Network (MLP),0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8070554355651548,0.6662400010113556,0.3659491193737769,0.46867167919799496,0.8638083228247163,0.41098901098901097,0.38614483510956166,0.12408496513901737,2055,324,212,187,0.5,0.7817268054541567,0.37717841023414567,-0.9052082530267975,0.6420234921744273,0.03455723542116631,97,0.03491720662347012,722,1222.0,0.33602525946896056,0.32617715022217963,0.31902207891941936,629,0.1940285946631693,0.13434903047091412,10,15,10,7,55,0.7571840176753925,0.17323905093690906,0.33194831405023123,0.5078832204143207,0.35024592922131215
Neural Network (MLP),0.5,test,fixed_threshold_0.5,prespecified,2778,0.8336933045356372,0.6880505172135888,0.4298440979955457,0.48370927318295737,0.8923917612442203,0.455188679245283,0.35814002040027176,0.11085715752624915,2123,256,206,193,0.5,0.7936755507937562,0.443515511730675,-0.749042828405549,0.7288413175723552,0.03167746580273578,91,0.03275737940964723,639,1090.0,0.3456083331091916,0.33533358118503154,0.330084449107732,566,0.1788534070803314,0.14241001564945227,6,10,10,10,55,0.5995364693303903,0.16349462871037335,0.3590600341071491,0.5199151227348731,0.36016613018133864
Neural Network (MLP),0.75,validation,fixed_threshold_0.5,prespecified,2778,0.7966162706983442,0.66327388458536,0.34798534798534797,0.47619047619047616,0.8503572929802438,0.4021164021164021,0.40682516179124073,0.13265059575068597,2023,356,209,190,0.5,0.777657152549301,0.3706336902668486,-1.030148242376614,0.5862574389631711,0.022318214542836574,62,0.022318214542836574,722,1222.0,0.28146396523958356,0.27726176988319706,0.2662112892481484,629,0.15459933973656326,0.08587257617728532,8,27,7,5,15,0.6315125809474424,0.18480304000564873,0.2844233269041235,0.44493713478247326,0.2875319353342056
Neural Network (MLP),0.75,test,fixed_threshold_0.5,prespecified,2778,0.8228941684665226,0.683831267955513,0.40372670807453415,0.48872180451127817,0.8789407313997478,0.4421768707482993,0.3741279765293642,0.118063931845252,2091,288,204,195,0.5,0.7925251337675839,0.4441367410091259,-0.8884748230950978,0.6681302859146753,0.019798416126709864,57,0.020518358531317494,639,1090.0,0.2900688002196451,0.28509564186413816,0.2756093590649033,566,0.14266385889544175,0.0892018779342723,5,17,8,7,20,0.4998434903721014,0.17489417703005913,0.31452441405431897,0.43418352227461965,0.29711502680316826
