algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,1222.0,0.5988917226780691,0.5586426618482336,0.5629914714991809,629,0.48376258392295135,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,1090.0,0.6159950235684827,0.5774755367074486,0.581295892320724,566,0.4580115681095121,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7041036717062635,0.7312859702851076,0.29604628736740596,0.7694235588972431,0.6931483816729719,0.4275766016713092,0.34469264698450874,0.10534618739924063,1649,730,92,307,0.13481921454270682,0.7899524978903752,0.39726301742996045,-0.34710651117178143,0.8838018641413617,0.020518358531317494,57,0.020518358531317494,722,1222.0,0.5218374375640061,0.4911968031483646,0.49333859227348964,629,0.3679295434952712,0.07894736842105263,9,37,2,6,3,0.8734738161843836,0.11281132622598072,0.5537978413354869,0.7185662084983455,0.5660825136601925
Neural Network (MLP),0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.714902807775378,0.731333377580142,0.30251256281407035,0.7543859649122807,0.7082807902480034,0.43185078909612623,0.3273555442497349,0.09723973278941767,1685,694,98,301,0.13481921454270682,0.803597370896767,0.48579779899530806,-0.0971157029076422,1.0092203686529069,0.018718502519798418,52,0.018718502519798418,639,1090.0,0.5376794404706232,0.5082822228127476,0.5108083005183536,566,0.344845990099516,0.081377151799687,5,33,5,7,2,0.7617146883159877,0.10521648885153326,0.5829160167695651,0.7792024267020455,0.5793309306776797
Neural Network (MLP),0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6943844492440605,0.7287401985417516,0.2897196261682243,0.7769423558897243,0.6805380411937789,0.42205582028590877,0.35911307271389736,0.11194404215953332,1619,760,89,310,0.12961701303720474,0.7857142857142856,0.38479816358704466,-0.6364315888901484,0.7677047765936864,0.022318214542836574,62,0.022318214542836574,722,1222.0,0.4373173712998165,0.4162224246127082,0.41547193988595693,629,0.27824725336570927,0.08587257617728532,8,49,0,5,0,0.8457232490181923,0.14306343832554724,0.4361130958705237,0.6625790908932686,0.46777847431600095
Neural Network (MLP),0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7084233261339092,0.730679156908665,0.2983316977428852,0.7619047619047619,0.6994535519125683,0.4287729196050776,0.3374636197627906,0.10146904916025998,1664,715,95,304,0.12961701303720474,0.798019112514367,0.4563248947124179,-0.43415254461562997,0.8737006841945072,0.016198704103671708,45,0.016198704103671708,639,1090.0,0.45072234612277257,0.43005987177576227,0.43070046484293395,566,0.259015389404301,0.07042253521126761,4,37,1,3,0,0.6898473466436068,0.13262588915380616,0.4648543238347652,0.7052378339464204,0.4799980026809533
Neural Network (MLP),0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6900647948164147,0.7251751699551527,0.2861111111111111,0.7744360902255639,0.6759142496847415,0.4178498985801217,0.38614483510956166,0.12408496513901737,1608,771,90,309,0.12622748066981634,0.7817268054541567,0.37717841023414567,-0.9052082530267975,0.6420234921744273,0.018718502519798418,52,0.018718502519798418,722,1222.0,0.33602525946896056,0.32617715022217963,0.31902207891941936,629,0.1940285946631693,0.07202216066481995,4,47,0,1,0,0.7571840176753925,0.17323905093690906,0.33194831405023123,0.5078832204143207,0.35024592922131215
Neural Network (MLP),0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7019438444924406,0.7289819757464278,0.29394812680115273,0.7669172932330827,0.691046658259773,0.425,0.35814002040027176,0.11085715752624915,1644,735,93,306,0.12622748066981634,0.7936755507937562,0.443515511730675,-0.749042828405549,0.7288413175723552,0.014038876889848811,39,0.014038876889848811,639,1090.0,0.3456083331091916,0.33533358118503154,0.330084449107732,566,0.1788534070803314,0.06103286384976526,3,35,1,0,0,0.5995364693303903,0.16349462871037335,0.3590600341071491,0.5199151227348731,0.36016613018133864
Neural Network (MLP),0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6789056875449964,0.7217887088465174,0.279319606087735,0.7819548872180451,0.6616225304749895,0.41160949868073876,0.40682516179124073,0.13265059575068597,1574,805,87,312,0.12875582774480185,0.777657152549301,0.3706336902668486,-1.030148242376614,0.5862574389631711,0.016198704103671708,45,0.016198704103671708,722,1222.0,0.28146396523958356,0.27726176988319706,0.2662112892481484,629,0.15459933973656326,0.062326869806094184,1,44,0,0,0,0.6315125809474424,0.18480304000564873,0.2844233269041235,0.44493713478247326,0.2875319353342056
Neural Network (MLP),0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6958243340532757,0.7264520064347502,0.28962264150943395,0.7694235588972431,0.6834804539722572,0.42083618917066484,0.3741279765293642,0.118063931845252,1626,753,92,307,0.12875582774480185,0.7925251337675839,0.4441367410091259,-0.8884748230950978,0.6681302859146753,0.012958963282937365,36,0.012958963282937365,639,1090.0,0.2900688002196451,0.28509564186413816,0.2756093590649033,566,0.14266385889544175,0.056338028169014086,1,34,1,0,0,0.4998434903721014,0.17489417703005913,0.31452441405431897,0.43418352227461965,0.29711502680316826
Neural Network (MLP),1.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6853851691864651,0.7193140480457132,0.281508739650414,0.7669172932330827,0.6717108028583438,0.41184387617765816,0.42867770415878714,0.1410550627729615,1598,781,93,306,0.13919000079234442,0.7754469191052453,0.36086320279170947,-1.1301799873401466,0.541521626884144,0.016198704103671708,45,0.016198704103671708,722,1222.0,0.23954103424620804,0.24011094340003705,0.22660328401425367,629,0.12827623430053686,0.062326869806094184,1,44,0,0,0,0.5851233174855058,0.19731206824191108,0.23885525040554278,0.40997910201549526,0.23871808542807899
Neural Network (MLP),1.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7015838732901368,0.7245999614420666,0.29206963249516443,0.7568922305764411,0.6923076923076923,0.421493370551291,0.39221281432191085,0.1252347187961231,1647,732,97,302,0.13919000079234442,0.7898745392274297,0.4322131792066497,-1.0032264880387989,0.6167280430551002,0.012239020878329733,34,0.012239020878329733,639,1090.0,0.24742693074320982,0.2467548402242973,0.23528128534534956,566,0.1182381402193965,0.053208137715179966,0,34,0,0,0,0.4501823425292969,0.18683449331854962,0.2685743572762589,0.38316265114566733,0.24837918316357593
Neural Network (MLP),1.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6771058315334774,0.7196948866491576,0.27767857142857144,0.7794486215538847,0.6599411517444305,0.40947992100065833,0.46195844657342017,0.15171612166510406,1570,809,88,311,0.1327111249168714,0.7752983762474703,0.3693643042913327,-1.241886077594038,0.48442731495953967,0.01583873290136789,44,0.01583873290136789,722,1222.0,0.1879252713938044,0.19335494776701834,0.17668722825130784,629,0.09878735838166645,0.060941828254847646,0,44,0,0,0,0.5062891630963845,0.20325246685041257,0.1869707659940527,0.3485193928082784,0.18008481871088344
Neural Network (MLP),1.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6940244780417567,0.7233152237466302,0.2874646559849199,0.7644110275689223,0.682219419924338,0.4178082191780822,0.4194352596937537,0.13466827082870247,1623,756,94,305,0.1327111249168714,0.7895005483443791,0.43290640775930733,-1.1305716930333618,0.551357924735992,0.011519078473722102,32,0.011519078473722102,639,1090.0,0.19283774576807788,0.19714363264653542,0.18277383793670496,566,0.09016741205104936,0.050078247261345854,0,32,0,0,0,0.3936764687299728,0.1944997173699516,0.21218128482890278,0.3153915760809915,0.18673694373851163
Neural Network (MLP),2.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6792656587473002,0.7199129602063166,0.2787769784172662,0.7769423558897243,0.6628835645229088,0.41032428855062875,0.4885529327706111,0.1590698888583496,1577,802,89,310,0.13813702762126923,0.7740763215310238,0.35299576977134156,-1.3143560361995756,0.45260307743104256,0.01583873290136789,44,0.01583873290136789,722,1222.0,0.15875366039813454,0.16689306033696957,0.14828919168590324,629,0.08296436223809063,0.060941828254847646,0,44,0,0,0,0.4724684438922189,0.2083608144261421,0.15322770840591857,0.30663457380400766,0.1470003668864568
Neural Network (MLP),2.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6958243340532757,0.7264520064347502,0.28962264150943395,0.7694235588972431,0.6834804539722572,0.42083618917066484,0.44117475655286675,0.1410487024752391,1626,753,92,307,0.13813702762126923,0.7884712832944067,0.4294444682660723,-1.2120218006344694,0.5160797636292082,0.011519078473722102,32,0.011519078473722102,639,1090.0,0.16263905052089953,0.16950806761262519,0.1534262862870807,566,0.07538965295521685,0.050078247261345854,0,32,0,0,0,0.3716371739904086,0.19752346156567427,0.17802511418566985,0.2750820488783351,0.1529066737545744
