algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,fixed_threshold_0.5,prespecified,2778,0.8639308855291576,0.5941082213731048,0.5695364238410596,0.21553884711779447,0.9726775956284153,0.31272727272727274,0.34098166820689346,0.10336912675655044,2314,65,313,86,0.5,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.15010799136069114,459,0.1652267818574514,722,1222.0,0.585124836372361,0.5441732622282471,0.5489914969054153,629,0.47686945320924073,0.6357340720221607,11,1,53,8,386,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,fixed_threshold_0.5,prespecified,2778,0.8693304535637149,0.5962178460021428,0.6343283582089553,0.21303258145363407,0.9794031105506515,0.31894934333958724,0.32783613300787867,0.09776640131015564,2330,49,314,85,0.5,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.13462922966162708,403,0.14506839452843773,639,1090.0,0.6002424458991562,0.5609378015684053,0.5668916814009028,566,0.45334277180933014,0.6306729264475743,9,0,36,15,343,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,fixed_threshold_0.5,prespecified,2778,0.8520518358531317,0.6361916771752837,0.4784172661870504,0.3333333333333333,0.9390500210172341,0.3929098966026588,0.34821952081894103,0.10649989045517899,2234,145,266,133,0.5,0.7860640462020962,0.40670605173317587,-0.4479264575458623,0.8514435485893774,0.10403167746580273,310,0.11159107271418287,722,1222.0,0.4961208360874709,0.46643329618073204,0.4677211237616725,629,0.3416234039308342,0.4293628808864266,9,2,31,8,260,0.8239588904543971,0.12035985893517277,0.5207764180429357,0.5458963292455402,0.5389896437128018
XGBoost,0.1,test,fixed_threshold_0.5,prespecified,2778,0.8668106551475881,0.6406369012063576,0.5633187772925764,0.3233082706766917,0.9579655317360235,0.410828025477707,0.32958333022183545,0.09849712994886393,2279,100,270,129,0.5,0.8037896338155182,0.4679474695796657,-0.20631984115024557,0.9661683281552687,0.10115190784737221,299,0.10763138948884089,639,1090.0,0.5105366562341158,0.48153912257441345,0.48479160133298244,566,0.3209678045023401,0.4679186228482003,7,0,25,14,253,0.7253476862777486,0.10936147994797593,0.5309454507347512,0.6725951931727862,0.5516218535923194
XGBoost,0.25,validation,fixed_threshold_0.5,prespecified,2778,0.8344132469402448,0.6550961261918984,0.42036553524804177,0.40350877192982454,0.9066834804539723,0.4117647058823529,0.36449657678190484,0.11377541711990083,2157,222,238,161,0.5,0.780533195114731,0.39438773749863426,-0.7097708759766592,0.7494978835373961,0.06911447084233262,197,0.0709143268538517,722,1222.0,0.40704109965922536,0.38794369909114895,0.38525771617458426,629,0.24908002796733344,0.27285318559556787,9,4,14,6,164,0.7639198954520446,0.15013247367137253,0.41456967677853335,0.5003025739607712,0.4346177460795277
XGBoost,0.25,test,fixed_threshold_0.5,prespecified,2778,0.859251259899208,0.665426175779929,0.5130718954248366,0.39348370927318294,0.937368642286675,0.4453900709219858,0.34227294670506564,0.1038979139573108,2230,149,242,157,0.5,0.7962555611390814,0.4511804012205066,-0.5197255407354044,0.8446395698599062,0.07379409647228222,213,0.07667386609071274,639,1090.0,0.41811571904155126,0.39950989113944446,0.3988833817352959,566,0.23131484856669726,0.3333333333333333,6,1,15,12,179,0.6447899204122801,0.1392983279880214,0.42560519792747015,0.61208017893627,0.444477413120146
XGBoost,0.5,validation,fixed_threshold_0.5,prespecified,2778,0.8034557235421166,0.6610093961258758,0.3572815533980582,0.46115288220551376,0.8608659100462379,0.4026258205689278,0.39026195551172344,0.12543185595840575,2048,331,215,184,0.5,0.7776360826403966,0.3847644585617576,-0.941214848681547,0.6469230008226944,0.02339812814974802,66,0.023758099352051837,722,1222.0,0.31920174781527044,0.3100824927729164,0.3027508436913938,629,0.1794351862810443,0.09141274238227147,9,9,10,6,32,0.6737578522629065,0.17311736459393584,0.3191041811447847,0.44780760041142675,0.33236995209642967
XGBoost,0.5,test,fixed_threshold_0.5,prespecified,2778,0.8239740820734341,0.6740321800718695,0.40217391304347827,0.46365914786967416,0.8844052122740648,0.4307334109429569,0.36272868995167973,0.11331511499532967,2104,275,214,185,0.5,0.7929628611250699,0.43720902251820565,-0.7881822007752549,0.7258146800820493,0.021238300935925127,60,0.02159827213822894,639,1090.0,0.32602893144088063,0.31716485942536904,0.3122637432904937,566,0.16467332768414994,0.09389671361502347,6,8,8,12,26,0.5702588648808558,0.16196127082750406,0.3245754542207174,0.5377579479803238,0.33858800465132827
XGBoost,0.75,validation,fixed_threshold_0.5,prespecified,2778,0.7994960403167747,0.6639123028251587,0.35261194029850745,0.47368421052631576,0.8541403951240016,0.4042780748663102,0.4124658018302888,0.13457830760025447,2032,347,210,189,0.5,0.7760005309617044,0.3765448173158927,-1.0680041272843455,0.5848666460580484,0.020518358531317494,57,0.020518358531317494,722,1222.0,0.2658690255016207,0.26229376288345,0.2517762043616502,629,0.1437120473765968,0.07894736842105263,9,19,7,6,16,0.6090030194866126,0.18510086761502048,0.26061731669231575,0.39315703564819854,0.2710317047222593
XGBoost,0.75,test,fixed_threshold_0.5,prespecified,2778,0.8185745140388769,0.6719225554428315,0.389937106918239,0.46616541353383456,0.8776796973518285,0.4246575342465753,0.3807717046662012,0.12103059709265541,2088,291,213,186,0.5,0.7914410869544606,0.43010410041210073,-0.9343115568362881,0.6569172513769012,0.017638588912886968,50,0.017998560115190784,639,1090.0,0.27053272631470493,0.26723827679817125,0.2592838610267631,566,0.13104016277818437,0.0782472613458529,6,14,8,10,12,0.5129131300509321,0.17403855380073244,0.2678569116533574,0.47704465577498784,0.2752004718603037
