algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,1222.0,0.585124836372361,0.5441732622282471,0.5489914969054153,629,0.47686945320924073,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,1090.0,0.6002424458991562,0.5609378015684053,0.5668916814009028,566,0.45334277180933014,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7339812814974802,0.7205703413641291,0.3111111111111111,0.7017543859649122,0.739386296763346,0.4311008468052348,0.34821952081894103,0.10649989045517899,1759,620,119,280,0.176466839134463,0.7860640462020962,0.40670605173317587,-0.4479264575458623,0.8514435485893774,0.017998560115190784,50,0.017998560115190784,722,1222.0,0.4961208360874709,0.46643329618073204,0.4677211237616725,629,0.3416234039308342,0.06925207756232687,8,31,2,4,5,0.8239588904543971,0.12035985893517277,0.5207764180429357,0.5458963292455402,0.5389896437128018
XGBoost,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7580993520518359,0.73048004626952,0.33454545454545453,0.6917293233082706,0.7692307692307693,0.45098039215686275,0.32958333022183545,0.09849712994886393,1830,549,123,276,0.176466839134463,0.8037896338155182,0.4679474695796657,-0.20631984115024557,0.9661683281552687,0.01655867530597552,46,0.01655867530597552,639,1090.0,0.5105366562341158,0.48153912257441345,0.48479160133298244,566,0.3209678045023401,0.07198748043818466,5,26,5,7,3,0.7253476862777486,0.10936147994797593,0.5309454507347512,0.6725951931727862,0.5516218535923194
XGBoost,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7336213102951764,0.7203601690228092,0.31076581576026635,0.7017543859649122,0.7389659520807061,0.4307692307692308,0.36449657678190484,0.11377541711990083,1758,621,119,280,0.176466839134463,0.780533195114731,0.39438773749863426,-0.7097708759766592,0.7494978835373961,0.017278617710583154,48,0.017278617710583154,722,1222.0,0.40704109965922536,0.38794369909114895,0.38525771617458426,629,0.24908002796733344,0.0664819944598338,7,36,1,4,0,0.7639198954520446,0.15013247367137253,0.41456967677853335,0.5003025739607712,0.4346177460795277
XGBoost,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.748020158387329,0.7256381812033236,0.32397660818713453,0.6942355889724311,0.757040773434216,0.44178628389154706,0.34227294670506564,0.1038979139573108,1801,578,122,277,0.176466839134463,0.7962555611390814,0.4511804012205066,-0.5197255407354044,0.8446395698599062,0.012958963282937365,36,0.012958963282937365,639,1090.0,0.41811571904155126,0.39950989113944446,0.3988833817352959,566,0.23131484856669726,0.056338028169014086,3,28,2,3,0,0.6447899204122801,0.1392983279880214,0.42560519792747015,0.61208017893627,0.444477413120146
XGBoost,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7242620590352772,0.7211534510930542,0.3045793397231097,0.7167919799498746,0.7255149222362337,0.42750373692077726,0.39026195551172344,0.12543185595840575,1726,653,113,286,0.176466839134463,0.7776360826403966,0.3847644585617576,-0.941214848681547,0.6469230008226944,0.014038876889848811,39,0.014038876889848811,722,1222.0,0.31920174781527044,0.3100824927729164,0.3027508436913938,629,0.1794351862810443,0.054016620498614956,1,38,0,0,0,0.6737578522629065,0.17311736459393584,0.3191041811447847,0.44780760041142675,0.33236995209642967
XGBoost,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7422606191504679,0.7254043052144864,0.31927023945267957,0.7017543859649122,0.7490542244640606,0.438871473354232,0.36272868995167973,0.11331511499532967,1782,597,119,280,0.176466839134463,0.7929628611250699,0.43720902251820565,-0.7881822007752549,0.7258146800820493,0.01079913606911447,30,0.01079913606911447,639,1090.0,0.32602893144088063,0.31716485942536904,0.3122637432904937,566,0.16467332768414994,0.046948356807511735,1,29,0,0,0,0.5702588648808558,0.16196127082750406,0.3245754542207174,0.5377579479803238,0.33858800465132827
XGBoost,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7235421166306696,0.7165612644473731,0.3022508038585209,0.706766917293233,0.7263556116015133,0.42342342342342343,0.4124658018302888,0.13457830760025447,1728,651,117,282,0.176466839134463,0.7760005309617044,0.3765448173158927,-1.0680041272843455,0.5848666460580484,0.014038876889848811,39,0.014038876889848811,722,1222.0,0.2658690255016207,0.26229376288345,0.2517762043616502,629,0.1437120473765968,0.054016620498614956,1,38,0,0,0,0.6090030194866126,0.18510086761502048,0.26061731669231575,0.39315703564819854,0.2710317047222593
XGBoost,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7404607631389489,0.7222675225263664,0.31662870159453305,0.6967418546365914,0.7477931904161412,0.43539545810493346,0.3807717046662012,0.12103059709265541,1779,600,121,278,0.176466839134463,0.7914410869544606,0.43010410041210073,-0.9343115568362881,0.6569172513769012,0.01079913606911447,30,0.01079913606911447,639,1090.0,0.27053272631470493,0.26723827679817125,0.2592838610267631,566,0.13104016277818437,0.046948356807511735,1,29,0,0,0,0.5129131300509321,0.17403855380073244,0.2678569116533574,0.47704465577498784,0.2752004718603037
