algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,1222.0,0.585124836372361,0.5441732622282471,0.5489914969054153,629,0.47686945320924073,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,1090.0,0.6002424458991562,0.5609378015684053,0.5668916814009028,566,0.45334277180933014,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7228221742260619,0.7286564456538571,0.30656934306569344,0.7368421052631579,0.7204707860445565,0.4329896907216495,0.34821952081894103,0.10649989045517899,1714,665,105,294,0.16326736449883,0.7860640462020962,0.40670605173317587,-0.4479264575458623,0.8514435485893774,0.017998560115190784,50,0.017998560115190784,722,1222.0,0.4961208360874709,0.46643329618073204,0.4677211237616725,629,0.3416234039308342,0.06925207756232687,8,36,2,4,0,0.8239588904543971,0.12035985893517277,0.5207764180429357,0.5458963292455402,0.5389896437128018
XGBoost,0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7437005039596832,0.7314597970335676,0.32276330690826727,0.7142857142857143,0.7486338797814208,0.44461778471138846,0.32958333022183545,0.09849712994886393,1781,598,114,285,0.16326736449883,0.8037896338155182,0.4679474695796657,-0.20631984115024557,0.9661683281552687,0.01511879049676026,42,0.01511879049676026,639,1090.0,0.5105366562341158,0.48153912257441345,0.48479160133298244,566,0.3209678045023401,0.06572769953051644,5,27,3,6,1,0.7253476862777486,0.10936147994797593,0.5309454507347512,0.6725951931727862,0.5516218535923194
XGBoost,0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7113030957523399,0.721930930731621,0.2966700302724521,0.7368421052631579,0.7070197562000841,0.42302158273381296,0.36449657678190484,0.11377541711990083,1682,697,105,294,0.1556821844094821,0.780533195114731,0.39438773749863426,-0.7097708759766592,0.7494978835373961,0.016918646508279338,47,0.016918646508279338,722,1222.0,0.40704109965922536,0.38794369909114895,0.38525771617458426,629,0.24908002796733344,0.06509695290858726,6,38,1,2,0,0.7639198954520446,0.15013247367137253,0.41456967677853335,0.5003025739607712,0.4346177460795277
XGBoost,0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7249820014398848,0.7299174797017765,0.30849947534102834,0.7368421052631579,0.7229928541403952,0.4349112426035503,0.34227294670506564,0.1038979139573108,1720,659,105,294,0.1556821844094821,0.7962555611390814,0.4511804012205066,-0.5197255407354044,0.8446395698599062,0.012239020878329733,34,0.012239020878329733,639,1090.0,0.41811571904155126,0.39950989113944446,0.3988833817352959,566,0.23131484856669726,0.053208137715179966,3,29,2,0,0,0.6447899204122801,0.1392983279880214,0.42560519792747015,0.61208017893627,0.444477413120146
XGBoost,0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7249820014398848,0.721573795775694,0.3052294557097118,0.7167919799498746,0.7263556116015133,0.4281437125748503,0.39026195551172344,0.12543185595840575,1728,651,113,286,0.17703702650594444,0.7776360826403966,0.3847644585617576,-0.941214848681547,0.6469230008226944,0.014038876889848811,39,0.014038876889848811,722,1222.0,0.31920174781527044,0.3100824927729164,0.3027508436913938,629,0.1794351862810443,0.054016620498614956,1,38,0,0,0,0.6737578522629065,0.17311736459393584,0.3191041811447847,0.44780760041142675,0.33236995209642967
XGBoost,0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7429805615550756,0.7258246498971261,0.32,0.7017543859649122,0.74989491382934,0.43956043956043955,0.36272868995167973,0.11331511499532967,1784,595,119,280,0.17703702650594444,0.7929628611250699,0.43720902251820565,-0.7881822007752549,0.7258146800820493,0.01079913606911447,30,0.01079913606911447,639,1090.0,0.32602893144088063,0.31716485942536904,0.3122637432904937,566,0.16467332768414994,0.046948356807511735,1,29,0,0,0,0.5702588648808558,0.16196127082750406,0.3245754542207174,0.5377579479803238,0.33858800465132827
XGBoost,0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6709863210943124,0.7182078778282401,0.2743207712532866,0.7844611528822055,0.6519546027742749,0.4064935064935065,0.4124658018302888,0.13457830760025447,1551,828,86,313,0.1255692929367215,0.7760005309617044,0.3765448173158927,-1.0680041272843455,0.5848666460580484,0.014398848092152628,40,0.014398848092152628,722,1222.0,0.2658690255016207,0.26229376288345,0.2517762043616502,629,0.1437120473765968,0.055401662049861494,0,40,0,0,0,0.6090030194866126,0.18510086761502048,0.26061731669231575,0.39315703564819854,0.2710317047222593
XGBoost,0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.683585313174946,0.7224350283021551,0.2818181818181818,0.7769423558897243,0.667927700714586,0.4136090727151434,0.3807717046662012,0.12103059709265541,1589,790,89,310,0.1255692929367215,0.7914410869544606,0.43010410041210073,-0.9343115568362881,0.6569172513769012,0.011159107271418287,31,0.011159107271418287,639,1090.0,0.27053272631470493,0.26723827679817125,0.2592838610267631,566,0.13104016277818437,0.048513302034428794,1,30,0,0,0,0.5129131300509321,0.17403855380073244,0.2678569116533574,0.47704465577498784,0.2752004718603037
