algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
Neural Network (MLP),0.0,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7037437005039597,0.7331617189253082,0.2965451055662188,0.7744360902255639,0.6918873476250526,0.42886884108258155,0.3401498941990284,0.10336897278034907,1646,733,90,309,0.11813894162575404,0.7923144346785417,0.3945487977180163,-0.04559101436130201,0.9704074759332653,0.025557955363570913,71,0.025557955363570913,722,972.0,0.5839432546126672,0.5586426618482336,0.5604647191040159,629,0.376263957132521,0.09833795013850416,9,20,5,6,31,0.9163113160228189,0.07331812889434587,0.6624883955833738,0.7666202170153459,0.6570113665163517
Neural Network (MLP),0.0,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7210223182145429,0.7296915049287784,0.30578512396694213,0.7418546365914787,0.7175283732660782,0.43306510607168985,0.3266836116287911,0.09706227171673955,1707,672,103,296,0.11813894162575404,0.8034056347257382,0.486491531883908,0.24593559239224297,1.1007906954987479,0.02159827213822894,62,0.022318214542836574,639,864.5,0.6017590767181642,0.5774755367074486,0.5790998315232556,566,0.3561499097824015,0.09702660406885759,6,14,8,8,26,0.8299908118632933,0.06551574417792355,0.6984573519892162,0.8201171990091863,0.6705714140434289
Neural Network (MLP),0.1,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6911447084233261,0.731020489432914,0.2888684452621895,0.7869674185463659,0.675073560319462,0.4226110363391655,0.3428377352046815,0.10456144482053549,1606,773,85,314,0.12296566367149353,0.7911893015430547,0.396757384226335,-0.2886429769957086,0.9055231744341221,0.019438444924406047,54,0.019438444924406047,722,972.0,0.5246354226803533,0.503650098891167,0.5046444638307414,629,0.30381937932621805,0.07479224376731301,9,30,1,6,8,0.8804046128961173,0.09943095096028769,0.5709543248092886,0.7147595135702027,0.5852410377835233
Neural Network (MLP),0.1,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7051835853131749,0.7308735268183069,0.29651162790697677,0.7669172932330827,0.694829760403531,0.4276729559748428,0.3262182589658768,0.09678468034476455,1653,726,93,306,0.12296566367149353,0.8042199867048874,0.4847754648010377,-0.026961273975724728,1.0335008597282622,0.016918646508279338,47,0.016918646508279338,639,864.5,0.5419338980004843,0.521627423400618,0.5231743055887379,566,0.28572039594906495,0.07355242566510173,5,27,5,6,4,0.766933878759543,0.09097565143127685,0.6018697439747698,0.7771576279610918,0.5994764136072008
Neural Network (MLP),0.25,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.701223902087833,0.7316905125360691,0.2945662535748332,0.7744360902255639,0.6889449348465742,0.42679558011049723,0.35257116783849124,0.10896305806971189,1639,740,90,309,0.13534613450368246,0.7880172267575203,0.39056975875766625,-0.5382167395050576,0.8133969325821074,0.020158387329013677,56,0.020158387329013677,722,972.0,0.4591118918727976,0.4427536609982478,0.4421207087085827,629,0.24115488937918447,0.07756232686980609,8,42,0,4,2,0.8430321914228526,0.12715246110485912,0.47144838324700944,0.638142971860038,0.5063544626384974
Neural Network (MLP),0.25,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7113030957523399,0.7281886936761829,0.29910269192422734,0.7518796992481203,0.7044976881042455,0.42796005706134094,0.33349969168127125,0.09956459231647326,1676,703,99,300,0.13534613450368246,0.7987186334899882,0.46409863746304497,-0.3283006485094522,0.9200021693524549,0.014398848092152628,40,0.014398848092152628,639,864.5,0.4728705144259473,0.456801683645371,0.45740923800173633,566,0.2237464789929737,0.06259780907668232,4,32,1,3,0,0.6926479625205199,0.11725199477816071,0.499302699285395,0.6863987042584963,0.5184048065270042
Neural Network (MLP),0.5,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7008639308855291,0.7262655377409475,0.2923076923076923,0.7619047619047619,0.6906263135771332,0.4225156358582349,0.3731817296418573,0.1181859870311904,1643,736,95,304,0.13862193872531256,0.7826928607774164,0.382551614938805,-0.8008465010762323,0.687579250069572,0.019438444924406047,54,0.019438444924406047,722,972.0,0.37266295973725094,0.362322411425962,0.3581551040864641,629,0.17804710114118263,0.07479224376731301,4,48,0,2,0,0.7435489308201906,0.1575108278590517,0.36041050607507874,0.5260673438509306,0.4025264632602533
Neural Network (MLP),0.5,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7159827213822895,0.7309209341133414,0.30303030303030304,0.7518796992481203,0.7099621689785625,0.4319654427645788,0.34806250994705135,0.10620824754925007,1689,690,99,300,0.13862193872531256,0.7954970444185283,0.4488679808336934,-0.6294400481299868,0.7804528867238989,0.013678905687544997,38,0.013678905687544997,639,864.5,0.3830149314567915,0.3724446905768113,0.3695582302851374,566,0.1635612876444377,0.0594679186228482,3,35,0,0,0,0.5898868523538112,0.1455151869478509,0.3897838186886575,0.5394827305224903,0.4129678535069348
Neural Network (MLP),0.75,validation,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.6911447084233261,0.7226768055068313,0.2857142857142857,0.7669172932330827,0.6784363177805801,0.4163265306122449,0.3904179402475165,0.12579983888111707,1614,765,93,306,0.1357808659474055,0.7787675367485548,0.368431672485494,-0.9281195474928543,0.6268433799772543,0.01655867530597552,46,0.01655867530597552,722,972.0,0.32161219718780454,0.31501598516178153,0.30716323970031373,629,0.1464882701786526,0.06371191135734072,3,43,0,0,0,0.6899340205797643,0.1666503219363781,0.3146859246371972,0.4724950282110108,0.34066205751895906
Neural Network (MLP),0.75,test,per_lambda_validation_optimized_threshold,same_lambda_validation,2778,0.7109431245500359,0.731107402807144,0.3,0.7593984962406015,0.7028163093736864,0.4300922640170334,0.36207189982832955,0.11258702266259592,1672,707,96,303,0.1357808659474055,0.7927590097564213,0.4366808690438953,-0.7777651142484854,0.7115904000131468,0.012958963282937365,36,0.012958963282937365,639,864.5,0.32916010284722025,0.3219938883640505,0.31578525911938904,566,0.1336236071452145,0.056338028169014086,2,34,0,0,0,0.5502147460977237,0.1540613314654264,0.3398846907942903,0.4562934569099493,0.34946702548467223
