weight_scheme,algorithm_key,algorithm,selected_lambda,delta_balanced_accuracy,delta_sensitivity,delta_specificity,delta_roc_auc,delta_average_precision,delta_patient_violation_rate,delta_soft_rule_violation,delta_log_loss,delta_brier_score
primary,xgboost,XGBoost,0.1,0.00465223588605812,0.057644110275689164,-0.048339638503572924,0.000926549244064323,-0.001382611771919895,-0.035637149028077755,-0.06678027787359919,0.0012862342384211134,0.0004193872822876449
primary,lightgbm,LightGBM,0.1,0.002356142563217478,0.05263157894736836,-0.047919293820933184,0.0021317480333874483,-0.0022992602744629775,-0.03131749460043197,-0.0680425858805469,0.00016166684329144143,0.00010856344642867777
primary,logistic,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary,neural,Neural Network (MLP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equal,xgboost,XGBoost,0.1,0.00471544561277093,0.03759398496240596,-0.02816309373686421,0.0012652480297001834,-0.00024267670455541124,-0.025557955363570913,-0.04490998456841511,0.00042230272827986637,0.0001789183305351827
equal,lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equal,logistic,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equal,neural,Neural Network (MLP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr05_stronger,xgboost,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr05_stronger,lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr05_stronger,logistic,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr05_stronger,neural,Neural Network (MLP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr02_lr04_downweighted,xgboost,XGBoost,0.1,0.00048039392301690853,0.04761904761904756,-0.046658259773013855,0.00012220547164465412,-0.003678385627814529,-0.03419726421886249,-0.07390331749603873,0.0016503765608194554,0.0005930148671945273
lr02_lr04_downweighted,lightgbm,LightGBM,0.1,0.004021718862098456,0.057644110275689164,-0.04960067255149214,0.003706196976257514,-0.0016197496377632903,-0.03095752339812815,-0.07495164578935742,-0.00025146076076987267,0.00014181912933129703
lr02_lr04_downweighted,logistic,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr02_lr04_downweighted,neural,Neural Network (MLP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
