algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05
XGBoost,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7688984881209503,0.7315704140553149,0.3452229299363057,0.6791979949874687,0.783942833123161,0.4577702702702703,0.34098166820689346,0.10336912675655044,1865,514,128,271,0.176466839134463,0.7895953629344483,0.4112856354938421,-0.16055807277262055,0.9450566056771348,0.04895608351331893,140,0.0503959683225342,722,972.0,0.5699154554402365,0.5441732622282471,0.5464752137527653,629,0.36939971809568556,0.19390581717451524,9,8,7,6,110,0.8668706868602228,0.084804724391213,0.6280662797347889,0.583404961449824,0.6442589094364617
XGBoost,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.46831955922865015,0.32783613300787867,0.09776640131015564,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.09362643509448579,1.0510456494183482,0.054715622750179986,161,0.057955363570914326,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.35102987037414857,0.2519561815336463,6,5,15,11,124,0.7922094266636119,0.07587329210991299,0.6427528416533685,0.7219705071322714,0.6559312878666724
XGBoost,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.7379409647228222,0.7270540790816891,0.3166109253065775,0.7117794486215538,0.7423287095418243,0.4382716049382716,0.345990758574575,0.10552690197164064,1766,613,115,284,0.176466839134463,0.7880814899796782,0.40536484339565887,-0.37632701802928226,0.900852870014021,0.019798416126709864,55,0.019798416126709864,722,972.0,0.5036233240077187,0.483444008929113,0.483914305590644,629,0.28305808718549713,0.07617728531855955,9,27,1,4,14,0.8324393928523459,0.1183240762587812,0.5364219174722495,0.5435447787511751,0.5619011859547323
XGBoost,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7584593232541397,0.7327761395923604,0.3357487922705314,0.6967418546365914,0.7688104245481294,0.4531377343113284,0.3291223672462998,0.09818578859244328,1829,550,121,278,0.176466839134463,0.8036995599549525,0.46683464451407203,-0.12546406124442136,1.0205112273465973,0.01907847372210223,53,0.01907847372210223,639,864.5,0.5189360444122836,0.49920247877730045,0.5017041208671862,566,0.26559394791306234,0.08294209702660407,5,23,5,6,14,0.740218767330026,0.10831078393493243,0.5489085206203551,0.6650865335439761,0.5748551062338101
XGBoost,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7282217422606192,0.7182505443937713,0.30610021786492375,0.7042606516290727,0.73224043715847,0.4267274107820805,0.35837263545334136,0.11082556699042341,1742,637,118,281,0.176466839134463,0.7821371419300669,0.3928939638663461,-0.6297031392452024,0.7748889305664916,0.016918646508279338,47,0.016918646508279338,722,972.0,0.42842999313641755,0.4133175774814666,0.41184115590135284,629,0.21697209521366492,0.06509695290858726,7,37,1,2,0,0.7687077097781195,0.1354957876242157,0.43733587812725055,0.49623740083700535,0.47207464954791584
XGBoost,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7494600431965442,0.7264788705686032,0.3254994124559342,0.6942355889724311,0.7587221521647751,0.4432,0.3372950114064939,0.10173584455112678,1805,574,122,277,0.176466839134463,0.7990541717892883,0.44641170414378917,-0.42484562769461676,0.874322711893404,0.01259899208063355,35,0.01259899208063355,639,864.5,0.44084655889191376,0.4259745628575377,0.4266402448474021,566,0.20201267115135427,0.054773082942097026,3,28,2,2,0,0.6434854739170458,0.12546283910595984,0.44877407126734736,0.6051167198174706,0.4829893769228067
XGBoost,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7224622030237581,0.7159307474234136,0.30128205128205127,0.706766917293233,0.725094577553594,0.42247191011235957,0.37905296426351365,0.12043211710183041,1725,654,117,282,0.176466839134463,0.7787248701830236,0.3868130147525362,-0.8568254226454114,0.6859376287947578,0.014038876889848811,39,0.014038876889848811,722,972.0,0.3475836397942426,0.3383340282165307,0.3334131667957336,629,0.16074603355835584,0.054016620498614956,1,38,0,0,0,0.6846084837189708,0.15766430716019333,0.34047113494030096,0.44205074661360333,0.3742965180306749
XGBoost,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.7444204463642908,0.7287512602439263,0.3222857142857143,0.706766917293233,0.7507356031946196,0.4427001569858713,0.3531410908228819,0.10881283572974515,1786,593,117,282,0.176466839134463,0.7936070735898174,0.438549840644578,-0.6855228933988329,0.7730295040256125,0.01079913606911447,30,0.01079913606911447,639,864.5,0.35713343388010116,0.34795619807182193,0.34554893045006274,566,0.14844675951762085,0.046948356807511735,1,29,0,0,0,0.5776700818245064,0.14686308065484677,0.34791695128578887,0.5350866568654761,0.3831389934432515
XGBoost,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7242620590352772,0.7180245696207732,0.3033226152197213,0.7092731829573935,0.726775956284153,0.42492492492492495,0.397860414014763,0.12856090306826512,1729,650,116,283,0.176466839134463,0.7763086783794291,0.3806211075867581,-0.9855904641855978,0.6135579842679626,0.013678905687544997,38,0.013678905687544997,722,972.0,0.2949984081924642,0.2887998202917145,0.2810626742117715,629,0.13052503890429162,0.05263157894736842,1,37,0,0,0,0.6018907699070393,0.16175386156234803,0.27968250751164814,0.39704395052345376,0.3128999300498293
XGBoost,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7404607631389489,0.7201816015448457,0.3157894736842105,0.6917293233082706,0.7486338797814208,0.4336213668499607,0.3690553246537226,0.11596759199668095,1781,598,123,276,0.176466839134463,0.7920684434920845,0.4269320576220067,-0.8410647147244519,0.6869717412825884,0.01079913606911447,30,0.01079913606911447,639,864.5,0.30154935524865256,0.29547595554934625,0.2904961173254456,566,0.11952356046898588,0.046948356807511735,1,29,0,0,0,0.5061421556352442,0.1524943687222331,0.28232562302256575,0.47995533740378843,0.3187595654830505
